lead,gate,accuracy,precision,recall,f1,auroc,auprc,runtime_sec
3,,0.7864249999999999,0.5152,0.541625,nan,0.8527,0.6395000000000001,575.6510499999999
6,,0.732975,0.17707499999999998,0.0367,nan,0.7081999999999999,0.402075,165.901375
9,,0.70835,0.0,0.0,nan,0.637675,0.381425,183.371125
12,,0.75,0.0,0.0,nan,0.6214999999999999,0.3366,153.009775
15,,0.7500249999999999,0.0,0.0,nan,0.752525,0.4696,165.36339999999998
