lead,gate,accuracy,precision,recall,f1,auroc,auprc,runtime_sec
,none,0.75152,0.1827,0.12991999999999998,nan,0.72356,0.42218,3.3965199999999998
,pixel,0.73384,0.17970000000000003,0.10713999999999999,nan,0.7030000000000001,0.45153999999999994,983.7456599999999
,tile_2x2,0.76318,0.12142,0.14782,nan,0.7062,0.446,4.22408
,tile_4x4,0.73368,0.06999999999999999,0.07778,nan,0.72532,0.46364,3.27112
