window_size,lead_time,accuracy,precision,recall,f1_score,roc_auc
1,1,0.9360156833457804,0.8788141025641026,0.8747937438905181,0.8760000000000001,0.9801103993157669
1,2,0.9339805825242719,0.8587661144112758,0.896082251082251,0.8746862745098039,0.9717977294939294
1,3,0.9222539501237389,0.8463549783549784,0.8798614718614719,0.8603992869875222,0.9780052186375716
1,4,0.9338092518560822,0.8557979797979798,0.9136249294184076,0.8815365921016294,0.9864285835243024
1,5,0.9316200266514374,0.8408020050125314,0.9040303030303031,0.8703970922945509,0.9781043956043958
1,6,0.9315248429468875,0.862116682806338,0.8742778549675101,0.8672581008258048,0.9738404856330785
1,7,0.9529411764705882,0.8750623915841308,0.9690186335403727,0.9187150939172266,0.9825417937485394
1,8,0.9470199961172587,0.8782726177233963,0.9381730346947739,0.9056782311990718,0.9819994010917229
1,9,0.9448650747427685,0.8832900634624773,0.922280778802518,0.9001135679448857,0.9873845899886928
1,10,0.9291399728208114,0.8566292226292227,0.8955044955044954,0.8721497326203208,0.9775302348369651
1,11,0.9565132983886624,0.9041065456282847,0.9463996983408748,0.923204589204589,0.9802145391562471
1,12,0.9346534653465346,0.862635395162729,0.9177442123094297,0.8849442370197087,0.9768767318470223
2,1,0.9184466019417477,0.8452338116655957,0.8388048183700357,0.8402045960228064,0.9718150042158589
2,2,0.8950314106225015,0.8211557815562264,0.7857142857142858,0.8015678844844307,0.9578610128070913
2,3,0.9103940605368361,0.856315034401991,0.8061232354601919,0.828358422939068,0.9627317862151781
2,4,0.9043974871502,0.8337517531556802,0.8073939393939394,0.8195916479450244,0.9619537407037407
2,5,0.9159337521416333,0.8611222111222112,0.8089607455124698,0.8330964510976964,0.9610558888442299
2,6,0.9137254901960784,0.8484808946877912,0.822131970880919,0.8311352275283491,0.9657621463641821
2,7,0.9234517569403998,0.8787246455384397,0.8259229980969112,0.8475834556126193,0.9691171288623831
2,8,0.9055134925257231,0.8496596761871904,0.7902654407563243,0.8160134128166915,0.9563204910921858
2,9,0.9369248689574841,0.8997016317016318,0.8594572094572095,0.8789260325730913,0.9676277947285987
2,10,0.9130071830712483,0.8531133168890606,0.8145942684766215,0.8298423955870765,0.9669805378916326
2,11,0.9029702970297029,0.8321900633261082,0.81802726259248,0.8222865087149103,0.9499390469741169
2,12,0.8909306930693071,0.834646427741057,0.7289001349527664,0.7777287639295952,0.948106914657792
3,1,0.9164667808871121,0.8556226382313339,0.8380779220779221,0.8449588320176555,0.9711287126091047
3,2,0.9181800875690082,0.8591865357643759,0.8273708356860532,0.8422824518476693,0.9635265894154784
3,3,0.9238720731010852,0.868969144460028,0.8407272727272728,0.8542802262749071,0.975414085914086
3,4,0.9022463354273749,0.8552214452214454,0.7565576186265841,0.7996134680287209,0.9643262926162961
3,5,0.9215686274509803,0.8476762657632223,0.8586244573565752,0.8529792960662526,0.9695570575837532
3,6,0.9293341098815763,0.863500417710944,0.8570092226613966,0.8577716780707391,0.9658735433656316
3,7,0.919336051252184,0.8640020898641589,0.8412096656135926,0.8491703924490809,0.9675554413120342
3,8,0.9329838866239564,0.8869004329004329,0.8555777555777555,0.8699926702146458,0.9708356296109424
3,9,0.9287711124053581,0.864925925925926,0.8762458521870287,0.8670978410061968,0.9696080585798482
3,10,0.9207920792079207,0.8661617207269382,0.8476186856621638,0.8550189805208384,0.9595236273962057
3,11,0.9126732673267327,0.8495354886659234,0.8167165991902834,0.8247473078879184,0.9599405193636772
3,12,0.8945940594059405,0.7786472148541115,0.8682962962962962,0.8121949479092336,0.9443089564286303
4,1,0.9259661146011803,0.8595242532128928,0.8656768774703556,0.8606991765997977,0.9687739485005858
4,2,0.9258709308966306,0.8800269151138715,0.8433333333333334,0.8597808264889011,0.9785688478188478
4,3,0.9140300780506376,0.8607355014677669,0.8002105174518966,0.8233655903676024,0.9690096072486319
4,4,0.9156862745098039,0.812863424434252,0.8872047017965672,0.8462727936409351,0.9734002855010384
4,5,0.9273344981556978,0.8665030320202733,0.8618745425267165,0.8605507629460529,0.9687488480897548
4,6,0.9193942923704135,0.8553919907884102,0.8572584186889938,0.8555468685903469,0.9615548889894544
4,7,0.9349834983498349,0.8926666666666667,0.8649850149850149,0.8760716112531968,0.973888345226344
4,8,0.9307318967190836,0.877164015553199,0.8691689291101057,0.8706378551420568,0.9653975016558075
4,9,0.9386138613861386,0.9105181431840471,0.86361935166283,0.8831158301119604,0.9656010664293955
4,10,0.9165940594059405,0.8527044664802101,0.8224601889338731,0.833470982798714,0.9587348640183728
4,11,0.9104356435643564,0.835124230813886,0.8182222222222222,0.8244728674099975,0.9549197836531862
4,12,0.9203168316831682,0.8250712250712251,0.8944444444444445,0.8546166014928321,0.9675699269093286
