lead,lam_sp,lam_tv,auroc,agree,mask_mean
3,0.01,0.05,0.8810916179337231,0.0006961065541387914,0.4999292939901352
3,0.05,0.05,0.8803606237816763,0.18023900826083122,0.4432404935359955
3,0.1,0.05,0.8801169590643274,0.2222706767122464,0.4400304704904556
3,0.3,0.05,0.8803606237816763,0.2708006800658131,0.4220590889453888
3,1.0,0.05,0.8908382066276803,0.3002581603588434,0.3263332322239876
3,0.01,0.2,0.8820662768031189,-0.012122804567461435,0.4998791366815567
3,0.05,0.2,0.859770955165692,0.023810937073294722,0.4390932023525238
3,0.1,0.2,0.881578947368421,0.20951737785346178,0.41745008528232574
3,0.3,0.2,0.883406432748538,0.3274382435712204,0.10945804537368531
3,1.0,0.2,0.8813352826510721,0.322420767902187,0.37417395412921906
6,0.01,0.05,0.7721734892787524,0.0021558650699936583,0.4999999552965164
6,0.05,0.05,0.7726608187134503,0.004743839169204428,0.4999901205301285
6,0.1,0.05,0.7709551656920077,0.008095713769440667,0.4999779015779495
6,0.3,0.05,0.7729044834307992,0.02225595383823493,0.49992935359477997
6,1.0,0.05,0.7733918128654971,0.06744987852560427,0.49975912272930145
6,0.01,0.2,0.7719298245614035,0.002160500497075727,0.4999995529651642
6,0.05,0.2,0.7719298245614035,0.004952709513153043,0.499989777803421
6,0.1,0.2,0.7729044834307992,0.008541455541794325,0.49997761845588684
6,0.3,0.2,0.7726608187134503,0.02387480094748805,0.49992895126342773
6,1.0,0.2,0.7733918128654971,0.07302779183268616,0.4997584968805313
