arch,params,val_auroc,val_sd
small_relu,4929,0.8899379701145943,0.029295976378562932
medium_relu,25633,0.8839700388712202,0.02831409089149822
medium_gelu,25633,0.8811383083446918,0.029574632323152113
tiny_relu,1313,0.8799630218587511,0.03659642365211566
deep_relu,288385,0.8743011383714472,0.03948268039112922
