seed,method,lam,tv,iou_true,iou_distractor,acc,f1
0,l0,0.25,0.0,0.7398373983739838,0.005780346820809248,0.68,0.5294117647058824
0,stg,0.25,0.0,0.6589147286821705,0.0,0.69,0.5633802816901409
0,l0,0.5,0.0,0.7983193277310925,0.0,0.6,0.3333333333333333
0,stg,0.5,0.0,0.7833333333333333,0.0,0.56,0.18518518518518517
0,l0,1.0,0.0,0.8135593220338984,0.005780346820809248,0.57,0.24561403508771928
0,stg,1.0,0.0,0.8290598290598291,0.005780346820809248,0.55,0.11764705882352941
0,l0,2.0,0.0,0.8290598290598291,0.0,0.59,0.2807017543859649
0,stg,2.0,0.0,0.8448275862068966,0.005780346820809248,0.57,0.0851063829787234
0,l0,4.0,0.0,0.8290598290598291,0.0,0.61,0.36065573770491804
0,stg,4.0,0.0,0.7983193277310925,0.005780346820809248,0.57,0.0
0,ours,0.02,0.0,0.2441860465116279,0.0,0.73,0.6493506493506493
0,ours,0.05,0.0,0.2891566265060241,0.0,0.73,0.6493506493506493
0,ours,0.1,0.0,0.34591194968553457,0.0,0.75,0.6835443037974683
0,ours,0.3,0.0,0.5851851851851851,0.0,0.72,0.6216216216216216
0,l0,0.25,0.05,0.8290598290598291,0.0,0.67,0.5074626865671642
0,stg,0.25,0.05,0.8290598290598291,0.0,0.61,0.36065573770491804
0,l0,0.5,0.05,0.8448275862068966,0.0,0.59,0.3050847457627119
0,stg,0.5,0.05,0.8448275862068966,0.0,0.56,0.18518518518518517
0,l0,1.0,0.05,0.8448275862068966,0.0,0.59,0.3050847457627119
0,stg,1.0,0.05,0.8448275862068966,0.029585798816568046,0.58,0.25
0,l0,2.0,0.05,0.8448275862068966,0.005780346820809248,0.61,0.36065573770491804
0,stg,2.0,0.05,0.8448275862068966,0.0,0.57,0.0851063829787234
0,l0,4.0,0.05,0.8448275862068966,0.0,0.57,0.21818181818181817
0,stg,4.0,0.05,0.8290598290598291,0.0,0.57,0.0
0,ours,0.02,0.05,0.6212121212121212,0.0,0.73,0.64
0,ours,0.05,0.05,0.7258064516129032,0.0,0.73,0.64
0,ours,0.1,0.05,0.768595041322314,0.0,0.74,0.6666666666666666
0,ours,0.3,0.05,0.7983193277310925,0.0,0.63,0.4307692307692308
1,l0,0.25,0.0,0.8135593220338984,0.0,0.55,0.21052631578947367
1,stg,0.25,0.0,0.8448275862068966,0.0,0.6,0.3548387096774194
1,l0,0.5,0.0,0.8448275862068966,0.0,0.59,0.32786885245901637
1,stg,0.5,0.0,0.8448275862068966,0.0,0.56,0.21428571428571427
1,l0,1.0,0.0,0.8448275862068966,0.0,0.56,0.2413793103448276
1,stg,1.0,0.0,0.8448275862068966,0.0,0.54,0.11538461538461539
1,l0,2.0,0.0,0.8448275862068966,0.0,0.55,0.21052631578947367
1,stg,2.0,0.0,0.8448275862068966,0.0,0.55,0.11764705882352941
1,l0,4.0,0.0,0.8448275862068966,0.0,0.53,0.11320754716981132
1,stg,4.0,0.0,0.8448275862068966,0.0,0.6,0.0
1,ours,0.02,0.0,0.38064516129032255,0.0,0.61,0.4
1,ours,0.05,0.0,0.44594594594594594,0.0,0.63,0.44776119402985076
1,ours,0.1,0.0,0.6461538461538462,0.0,0.6,0.375
1,ours,0.3,0.0,0.7258064516129032,0.0,0.59,0.3492063492063492
1,l0,0.25,0.05,0.8448275862068966,0.0,0.53,0.11320754716981132
1,stg,0.25,0.05,0.8448275862068966,0.0,0.57,0.2711864406779661
1,l0,0.5,0.05,0.8448275862068966,0.0,0.57,0.2711864406779661
1,stg,0.5,0.05,0.8448275862068966,0.0,0.53,0.04081632653061224
1,l0,1.0,0.05,0.8448275862068966,0.0,0.55,0.21052631578947367
1,stg,1.0,0.05,0.8448275862068966,0.011627906976744186,0.55,0.11764705882352941
