lead,method,auroc,sd
3,logistic (linear),0.9239766081871345,0.0
3,gradient boosting,0.8518518518518517,0.0
3,CNN_ungated,0.9004223521767382,0.008368581463542088
3,CNN_ours_pixel,0.8879142300194931,0.011477272080997863
3,CNN_ours_2x2,0.8884015594541911,0.012875092410938507
3,CNN_ours_4x4,0.8869395711500975,0.011205045068863297
3,CNN_L0_gate,0.8862897985705004,0.017527306704995322
3,CNN_STG_gate,0.8840155945419103,0.011863911394743451
3,CNN_attention,0.8991228070175438,0.012462682117489701
6,logistic (linear),0.7933723196881092,0.0
6,gradient boosting,0.7285575048732943,0.0
6,CNN_ungated,0.7707927225471085,0.010928452366182038
6,CNN_ours_pixel,0.7729044834307991,0.0038372358060485947
6,CNN_ours_2x2,0.7735542560103964,0.002932987343285828
6,CNN_ours_4x4,0.7724171539961014,0.0028693180202494567
6,CNN_L0_gate,0.7470760233918128,0.020736807533765972
6,CNN_STG_gate,0.782488628979857,0.018900732852107586
6,CNN_attention,0.7603963612735543,0.006320687608298827
