seed,method,iou_causal,iou_spurious,mass_causal,mass_spurious,acc,f1
0,saliency,0.0,0.0,0.08186163205147806,0.04058475497874584,0.72,0.65
0,integrated_grad,0.6984126984126984,0.20437956204379562,0.1554379562197758,0.07211220917756356,0.72,0.65
0,grad_cam,0.6461538461538462,0.24060150375939848,0.3717432628082424,0.13972213654659327,0.72,0.65
0,gradient_shap,0.6984126984126984,0.20437956204379562,0.1552666501433264,0.07219980900628246,0.72,0.65
0,l0_gate,0.18888888888888888,0.4224137931034483,0.08770962937993605,0.05623657809029637,0.74,0.6829268292682927
0,stg_gate,0.3375,0.4224137931034483,0.14541174858588451,0.16606904258145158,0.74,0.6060606060606061
0,spatial_attn,0.5285714285714286,0.34146341463414637,0.0899778986976986,0.04517263182498151,0.74,0.6904761904761905
0,ours_TV,0.009433962264150943,0.4224137931034483,0.0949212178420094,0.12222515625468897,0.78,0.725
1,saliency,0.47586206896551725,0.2890625,0.1020595649814243,0.05022941482750725,0.67,0.547945205479452
1,integrated_grad,0.6461538461538462,0.24060150375939848,0.2261448688876453,0.10587546870323018,0.67,0.547945205479452
1,grad_cam,0.5507246376811594,0.32,0.4909034972431076,0.24224665167565812,0.67,0.547945205479452
1,gradient_shap,0.6589147286821705,0.23134328358208955,0.22463859814548828,0.10571609434825328,0.67,0.547945205479452
1,l0_gate,0.32919254658385094,0.4224137931034483,0.0928688568365788,0.05378118002839097,0.66,0.48484848484848486
1,stg_gate,0.44594594594594594,0.4224137931034483,0.18605780066800628,0.16272930149922227,0.71,0.6027397260273972
1,spatial_attn,0.5620437956204379,0.30952380952380953,0.08765142071427488,0.04382107062072341,0.67,0.56
1,ours_TV,0.033816425120772944,0.4224137931034483,0.1303828979257435,0.11075710443142994,0.71,0.6027397260273972
2,saliency,0.0,0.0,0.08829888104859217,0.04357562776845806,0.65,0.5454545454545454
2,integrated_grad,0.6984126984126984,0.20437956204379562,0.17051381575097127,0.07483567565795231,0.65,0.5454545454545454
2,grad_cam,0.671875,0.2222222222222222,0.4761309698247886,0.15997084688699592,0.65,0.5454545454545454
2,gradient_shap,0.6984126984126984,0.20437956204379562,0.17024237633705408,0.07480845699879644,0.65,0.5454545454545454
2,l0_gate,0.2891566265060241,0.4224137931034483,0.08895595305689498,0.05674570143302855,0.68,0.5897435897435898
2,stg_gate,0.3128834355828221,0.4224137931034483,0.15160750834369638,0.16171948988735424,0.66,0.5277777777777778
2,spatial_attn,0.5285714285714286,0.2890625,0.09344461891399873,0.046856444425010316,0.66,0.5641025641025641
2,ours_TV,0.09183673469387756,0.4224137931034483,0.11385407898429797,0.11515568484013712,0.66,0.5641025641025641
3,saliency,0.3375,0.09271523178807947,0.09565204809135097,0.0471802377603973,0.74,0.59375
3,integrated_grad,0.7258064516129032,0.18705035971223022,0.1989246659727842,0.09207149429991261,0.74,0.59375
3,grad_cam,0.5851851851851851,0.2890625,0.4852221627096442,0.21614270606765307,0.74,0.59375
3,gradient_shap,0.7258064516129032,0.18705035971223022,0.19820726092545002,0.0914757178325642,0.74,0.59375
3,l0_gate,0.281437125748503,0.4224137931034483,0.09158245755992987,0.05584096586328357,0.73,0.5846153846153846
3,stg_gate,0.2891566265060241,0.4224137931034483,0.1454011147575964,0.16106972475736855,0.74,0.6060606060606061
3,spatial_attn,0.5285714285714286,0.34146341463414637,0.08979986877238627,0.04513981215819857,0.74,0.6060606060606061
3,ours_TV,0.01904761904761905,0.4224137931034483,0.10413687930608062,0.1231344246388778,0.72,0.5882352941176471
4,saliency,0.3048780487804878,0.23134328358208955,0.10087663640395528,0.0493553717479468,0.74,0.723404255319149
4,integrated_grad,0.5970149253731343,0.27906976744186046,0.2052139952819313,0.09986145545560364,0.74,0.723404255319149
4,grad_cam,0.5735294117647058,0.2992125984251969,0.43700606513992674,0.22041360133197502,0.74,0.723404255319149
