lead,gate,lam_tv,auroc,f1,agree
3,pixel,0.01,0.8596491228070176,0.6781609195402298,-0.03286460290172817
3,pixel,0.05,0.8693957115009747,0.6827330508474576,-0.0007237512567038929
3,pixel,0.2,0.8923001949317739,0.6818181818181819,-0.03968201468583367
3,pixel,0.5,0.8642787524366471,0.6717948717948719,0.052389910577416994
3,tile_2x2,0.01,0.8557504873294346,0.6670678863745787,-0.05552299302314853
3,tile_2x2,0.05,0.878411306042885,0.6810924369747899,-0.011194468311823757
3,tile_2x2,0.2,0.8996101364522417,0.6766169154228856,-0.02265095030130318
3,tile_2x2,0.5,0.8862085769980507,0.6621004566210045,0.07680329180034108
6,pixel,0.01,0.6537524366471734,0.46294642857142854,0.3033220022084615
6,pixel,0.05,0.682504873294347,0.4839968774395004,0.37601472813822057
6,pixel,0.2,0.6751949317738792,0.48081593006313744,0.36888436451006035
6,pixel,0.5,0.6798245614035088,0.4883258817685047,0.5219355383565917
6,tile_2x2,0.01,0.665692007797271,0.4677944046844502,0.4029898664036316
6,tile_2x2,0.05,0.7117446393762183,0.4900562851782364,0.3112440093165684
6,tile_2x2,0.2,0.6900584795321637,0.49617277200656096,0.5313005551334129
6,tile_2x2,0.5,0.5991715399610137,0.4782967032967033,0.4003269788173421
