method,auroc,auroc_sd,agree,concentration
ungated,0.7296999233087802,0.0058402147354152945,,
ours_pixel,0.7234536909878899,0.001973193743423307,0.12187616621281225,0.028993289917707443
ours_2x2,0.7333326793771959,0.0014184308619736297,0.2031776241781876,0.03541281446814537
ours_4x4,0.7274716866717794,0.004159696088747777,0.32376269353782394,0.04760880023241043
L0_gate,0.7285494658367369,0.003881645829246161,0.2699320855625735,0.05102503299713135
STG_gate,0.7418873174124739,0.006380352779610798,0.21401668133489488,0.16041889786720276
attention,0.7005466478802904,0.012605361251315339,-0.04713125432633606,0.06707543879747391
