lead,method,agree
3,logistic_L2,-0.18802083923543567
3,ours_TVmask,0.6897732625300181
3,L0_gate,0.6499972587710162
3,STG_gate,0.5836061638955955
3,attention,0.17274378163596257
3,posthoc_saliency,0.6847670289110028
3,posthoc_integrated_grad,0.7697588144925065
3,posthoc_gradient_shap,0.748589782373584
3,posthoc_grad_cam,0.48546618669540376
6,logistic_L2,-0.09274885868733852
6,ours_TVmask,0.4648467668468119
6,L0_gate,0.614022190282821
6,STG_gate,0.5999268340622942
6,attention,-0.31911223604383154
6,posthoc_saliency,0.44629403540177487
6,posthoc_integrated_grad,0.41868348420180956
6,posthoc_gradient_shap,0.4201934956208816
6,posthoc_grad_cam,-0.10043611586049712
