lead,gate,acc,acc_sd,f1,auroc,agree_corr,sec_per_run
3,none,0.7718446601941747,0.0318322258461262,0.6579831698531621,0.8662280701754386,,22.169687032699585
3,pixel,0.8033980582524272,0.004204006814487564,0.6908662826899128,0.8971734892787525,-0.01766992499322244,22.81795310974121
3,tile_2x2,0.7864077669902912,0.024752521910644577,0.6888415067519544,0.8982699805068226,0.010956810566788648,26.558155059814453
3,tile_4x4,0.779126213592233,0.027780395976358233,0.6721600331674957,0.8756091617933724,0.14196406376386406,25.932498931884766
6,none,0.6650485436893203,0.07842473020098795,0.4697156799401163,0.6349902534113061,,25.455116033554077
6,pixel,0.645631067961165,0.039137173535429864,0.5147743094266563,0.6937134502923976,0.3722715417393291,25.06110382080078
6,tile_2x2,0.6383495145631068,0.07808596088420104,0.5099911479080423,0.6989522417153995,0.4681845358795512,23.934757947921753
6,tile_4x4,0.6432038834951457,0.07532097402515973,0.4874061773901196,0.6374269005847952,0.49827937270486755,23.754582166671753
